cod_materia;nome_materia;cod_departamento;sigla_departamento;nome_departamento;creditos
325368;Seminário em Psicologia Clínica                                       ;257;PCL         ;Departamento de Psicologia Clínica                ;4
326186;Seminário em Psicologia Clínica e Cultura 1                           ;257;PCL         ;Departamento de Psicologia Clínica                ;4
326194;Seminário em Psicologia Clínica e Cultura 2                           ;257;PCL         ;Departamento de Psicologia Clínica                ;4
326208;Seminário em Psicologia Clínica e Cultura 3                           ;257;PCL         ;Departamento de Psicologia Clínica                ;4
326216;Seminário em Psicologia Clínica e Cultura 4                           ;257;PCL         ;Departamento de Psicologia Clínica                ;4
325902;Seminário em Psicologia da Saúde 1                                    ;257;PCL         ;Departamento de Psicologia Clínica                ;4
325911;Seminário em Psicologia da Saúde 2                                    ;256;PED         ;Departamento de Psic.Escolar e do Desenvolvimento ;2
325805;Seminário em Psicologia do Desenvolvimento 1                          ;256;PED         ;Departamento de Psic.Escolar e do Desenvolvimento ;4
325813;Seminário em Psicologia do Desenvolvimento 2                          ;256;PED         ;Departamento de Psic.Escolar e do Desenvolvimento ;2
325821;Seminário em Psicologia Escolar 1                                     ;256;PED         ;Departamento de Psic.Escolar e do Desenvolvimento ;4
325830;Seminário em Psicologia Escolar 2                                     ;256;PED         ;Departamento de Psic.Escolar e do Desenvolvimento ;2
309974;Seminário em Psicologia Evolucionista                                 ;255;PPB         ;Departamento de Processos Psicologicos Básicos    ;4
324051;Seminário em Psicologia Social                                        ;258;PST         ;Departamento de Psicologia Social e do Trabalho   ;4
388432;Seminário em Regulaçao e Gestao 1                                     ;25;FACE        ;Faculd. de Economia; Administraçao e Contabilidade;2
388441;Seminário em Regulaçao e Gestao 2                                     ;25;FACE        ;Faculd. de Economia; Administraçao e Contabilidade;2
385042;Seminário em Relaçoes Internacionais                                  ;87;IREL        ;Instituto de Relaçoes Internacionais              ;4
319350;Seminário em Sensoriamento Remoto Ambiental                           ;28;IGD         ;Instituto de Geociencias                          ;2
304689;Seminário em Tecnologia Química e Biológica 1                         ;85;IQD         ;Instituto de Química                              ;2
304697;Seminário em Tecnologia Química e Biológica 2                         ;85;IQD         ;Instituto de Química                              ;2
157970;Seminário em Teoria; Crítica e História da Arte 11                    ;163;VIS         ;Departamento de Artes Visuais                     ;4
157988;Seminário em Teoria; Crítica e História da Arte 12                    ;163;VIS         ;Departamento de Artes Visuais                     ;4
157996;Seminário em Teoria; Crítica e História da Arte 13                    ;163;VIS         ;Departamento de Artes Visuais                     ;4
158003;Seminário em Teoria; Crítica e História da Arte 14                    ;163;VIS         ;Departamento de Artes Visuais                     ;4
158011;Seminário em Teoria; Crítica e História da Arte 15                    ;163;VIS         ;Departamento de Artes Visuais                     ;4
157236;Seminário em Teoria; Crítica e História da Arte 2                     ;163;VIS         ;Departamento de Artes Visuais                     ;4
157244;Seminário em Teoria; Crítica e História da Arte 3                     ;163;VIS         ;Departamento de Artes Visuais                     ;4
157252;Seminário em Teoria; Crítica e História da Arte 4                     ;163;VIS         ;Departamento de Artes Visuais                     ;4
157368;Seminário em Teoria; Crítica e História da Arte 5                     ;163;VIS         ;Departamento de Artes Visuais                     ;4
157228;SEMINARIO EM TEORIA;CRITICA E HISTORIA DA ARTE 1                      ;163;VIS         ;Departamento de Artes Visuais                     ;4
157791;Seminario em Teoria;Critica e Historia da Arte 10                     ;163;VIS         ;Departamento de Artes Visuais                     ;4
157759;Seminario em Teoria;Critica e Historia da Arte 6                      ;163;VIS         ;Departamento de Artes Visuais                     ;4
157767;Seminario em Teoria;Critica e Historia da Arte 7                      ;163;VIS         ;Departamento de Artes Visuais                     ;4
157775;Seminario em Teoria;Critica e Historia da Arte 8                      ;163;VIS         ;Departamento de Artes Visuais                     ;4
