cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_materia;sigla_departamento
654923;C ;26;20181;1070380;113913;CIC         
654923;C ;26;20181;1050711;113913;CIC         
654923;C ;26;20181;1050711;113913;CIC         
669157;A ;45;20182;139751;204315;CIC         
669157;A ;45;20182;139751;204315;CIC         
672072;H ;25;20182;986551;113913;CIC         
672072;H ;25;20182;986551;113913;CIC         
672072;H ;25;20182;986551;113913;CIC         
672072;H ;25;20182;986551;113913;CIC         
672072;H ;25;20182;1070380;113913;CIC         
672072;H ;25;20182;1070380;113913;CIC         
672072;H ;25;20182;1070380;113913;CIC         
672072;H ;25;20182;1070380;113913;CIC         
672074;A ;25;20182;1070380;113913;CIC         
672074;A ;25;20182;1070380;113913;CIC         
672074;A ;25;20182;1070380;113913;CIC         
672074;A ;25;20182;1070380;113913;CIC         
674008;A ;30;20182;1034774;121649;CIC         
674031;A ;30;20182;1034774;121631;CIC         
674031;A ;30;20182;1034774;121631;CIC         
648072;A ;35;20181;1109057;116327;CIC         
648072;A ;35;20181;1109057;116327;CIC         
648072;A ;35;20181;1109057;116327;CIC         
648072;A ;35;20181;1109057;116327;CIC         
653489;A ;40;20181;1067800;116599;CIC         
653489;A ;40;20181;1067800;116599;CIC         
654919;A ;25;20181;1070380;113913;CIC         
654919;A ;25;20181;1070380;113913;CIC         
654919;A ;25;20181;1070380;113913;CIC         
654919;A ;25;20181;1070380;113913;CIC         
654924;D ;25;20181;1050711;113913;CIC         
654924;D ;25;20181;1050711;113913;CIC         
654924;D ;25;20181;1070380;113913;CIC         
654924;D ;25;20181;1070380;113913;CIC         
654924;D ;25;20181;1050711;113913;CIC         
654924;D ;25;20181;1050711;113913;CIC         
654924;D ;25;20181;1070380;113913;CIC         
654924;D ;25;20181;1070380;113913;CIC         
654925;G ;25;20181;1070380;113913;CIC         
654925;G ;25;20181;1070380;113913;CIC         
654925;G ;25;20181;1070380;113913;CIC         
654925;G ;25;20181;1070380;113913;CIC         
659908;A ;30;20181;1106058;116866;CIC         
659908;A ;30;20181;1106058;116866;CIC         
668470;B ;40;20182;1035746;116378;CIC         
668470;B ;40;20182;1035746;116378;CIC         
668470;B ;40;20182;1035746;116378;CIC         
668470;B ;40;20182;1035746;116378;CIC         
672075;E ;25;20182;1054791;113913;CIC         
672075;E ;25;20182;1054791;113913;CIC         
672075;E ;25;20182;1070380;113913;CIC         
672075;E ;25;20182;1070380;113913;CIC         
672075;E ;25;20182;1054791;113913;CIC         
672075;E ;25;20182;1054791;113913;CIC         
672075;E ;25;20182;1070380;113913;CIC         
672075;E ;25;20182;1070380;113913;CIC         
672078;C ;26;20182;986551;113913;CIC         
672078;C ;26;20182;986551;113913;CIC         
672078;C ;26;20182;986551;113913;CIC         
672078;C ;26;20182;986551;113913;CIC         
672078;C ;26;20182;1070380;113913;CIC         
672078;C ;26;20182;1070380;113913;CIC         
672078;C ;26;20182;1070380;113913;CIC         
672078;C ;26;20182;1070380;113913;CIC         
654175;B ;40;20181;1034448;113468;CIC         
654175;B ;40;20181;1034448;113468;CIC         
654535;H ;32;20181;1103679;113476;CIC         
654535;H ;32;20181;1103679;113476;CIC         
654535;H ;32;20181;1103679;113476;CIC         
654914;K ;25;20181;1070380;113913;CIC         
654914;K ;25;20181;1070380;113913;CIC         
654914;K ;25;20181;1070380;113913;CIC         
654914;K ;25;20181;1070380;113913;CIC         
666294;A ;1;20182;1049119;207314;CIC         
666294;A ;1;20182;1049119;207314;CIC         
666294;A ;1;20182;1049119;207314;CIC         
666294;A ;1;20182;1049119;207314;CIC         
666294;A ;1;20182;1049119;207314;CIC         
672768;B ;40;20182;1011693;116572;CIC         
672768;B ;40;20182;1011693;116572;CIC         
672768;B ;40;20182;1011693;116572;CIC         
672768;B ;40;20182;1011693;116572;CIC         
672768;B ;40;20182;1011693;116572;CIC         
672768;B ;40;20182;1011693;116572;CIC         
673997;A ;20;20182;986551;200379;CIC         
673997;A ;20;20182;986551;200379;CIC         
675160;A ;30;20182;1106058;116866;CIC         
675160;A ;30;20182;1106058;116866;CIC         
675189;D ;40;20182;1032585;116394;CIC         
675189;D ;40;20182;1032585;116394;CIC         
648665;E ;40;20181;1067800;116319;CIC         
648665;E ;40;20181;1067800;116319;CIC         
661173;A ;20;20181;149667;316024;CIC         
661173;A ;20;20181;149667;316024;CIC         
669627;A ;40;20182;1012606;116726;CIC         
670397;A ;40;20182;1027735;117251;CIC         
670397;A ;40;20182;1027735;117251;CIC         
648073;B ;45;20181;997536;116327;CIC         
648073;B ;45;20181;997536;116327;CIC         
648073;B ;45;20181;997536;116327;CIC         
648073;B ;45;20181;997536;116327;CIC         
651392;A ;45;20181;63304;116343;CIC         
651392;A ;45;20181;63304;116343;CIC         
654323;B ;35;20181;1027654;116416;CIC         
654323;B ;35;20181;1027654;116416;CIC         
654323;B ;35;20181;1027654;116416;CIC         
654323;B ;35;20181;1027654;116416;CIC         
672079;D ;25;20182;1054791;113913;CIC         
672079;D ;25;20182;1054791;113913;CIC         
672079;D ;25;20182;1070380;113913;CIC         
672079;D ;25;20182;1070380;113913;CIC         
672079;D ;25;20182;1054791;113913;CIC         
672079;D ;25;20182;1054791;113913;CIC         
672079;D ;25;20182;1070380;113913;CIC         
672079;D ;25;20182;1070380;113913;CIC         
652253;A ;42;20181;63304;116432;CIC         
652253;A ;42;20181;63304;116432;CIC         
655920;A ;30;20181;1056662;117935;CIC         
655920;A ;30;20181;1056662;117935;CIC         
665658;A ;40;20182;994235;201600;CIC         
665658;A ;40;20182;994235;201600;CIC         
666924;B ;40;20182;1032585;116394;CIC         
666924;B ;40;20182;1032585;116394;CIC         
677338;A ;30;20182;504211;117927;CIC         
677338;A ;30;20182;504211;117927;CIC         
652214;A ;40;20181;1012606;116726;CIC         
655248;A ;30;20181;139751;204323;CIC         
655248;A ;30;20181;139751;204323;CIC         
656505;A ;30;20181;1034456;117242;CIC         
656505;A ;30;20181;1034456;117242;CIC         
672953;A ;30;20182;1056662;117935;CIC         
672953;A ;30;20182;1056662;117935;CIC         
651282;B ;40;20181;1036602;116441;CIC         
651282;B ;40;20181;1036602;116441;CIC         
666927;A ;30;20182;1016377;116394;CIC         
666927;A ;30;20182;1016377;116394;CIC         
670765;A ;40;20182;1067800;116599;CIC         
670765;A ;40;20182;1067800;116599;CIC         
670829;A ;45;20182;986721;117366;CIC         
670829;A ;45;20182;986721;117366;CIC         
672387;A ;40;20182;994235;117536;CIC         
672387;A ;40;20182;994235;117536;CIC         
649272;C ;30;20181;151785;116394;CIC         
649272;C ;30;20181;151785;116394;CIC         
654532;C ;40;20181;1048473;113476;CIC         
654532;C ;40;20181;1048473;113476;CIC         
654532;C ;40;20181;1048473;113476;CIC         
668805;B ;40;20182;131032;116441;CIC         
668805;B ;40;20182;131032;116441;CIC         
669661;A ;42;20182;63304;116432;CIC         
669661;A ;42;20182;63304;116432;CIC         
673445;A ;40;20182;1034456;117242;CIC         
673445;A ;40;20182;1034456;117242;CIC         
650922;B ;40;20181;997536;116378;CIC         
650922;B ;40;20181;997536;116378;CIC         
650922;B ;40;20181;997536;116378;CIC         
650922;B ;40;20181;997536;116378;CIC         
650923;A ;40;20181;1035746;116378;CIC         
650923;A ;40;20181;1035746;116378;CIC         
650923;A ;40;20181;1035746;116378;CIC         
650923;A ;40;20181;1035746;116378;CIC         
650969;A ;40;20181;149870;116467;CIC         
650969;A ;40;20181;149870;116467;CIC         
650969;A ;40;20181;149870;116467;CIC         
650969;A ;40;20181;149870;116467;CIC         
650969;A ;40;20181;149870;116467;CIC         
650969;A ;40;20181;149870;116467;CIC         
656534;A ;40;20181;1096214;121614;CIC         
666359;C ;40;20182;1056662;116319;CIC         
666359;C ;40;20182;1056662;116319;CIC         
668514;A ;40;20182;1035011;116467;CIC         
668514;A ;40;20182;1035011;116467;CIC         
668514;A ;40;20182;1035011;116467;CIC         
668514;A ;40;20182;1035011;116467;CIC         
668514;A ;40;20182;1035011;116467;CIC         
668514;A ;40;20182;1035011;116467;CIC         
670324;C ;40;20182;309940;113450;CIC         
670324;C ;40;20182;309940;113450;CIC         
648074;C ;35;20181;1034448;116327;CIC         
648074;C ;35;20181;1034448;116327;CIC         
648074;C ;35;20181;1034448;116327;CIC         
648074;C ;35;20181;1034448;116327;CIC         
648667;B ;40;20181;149667;116319;CIC         
648667;B ;40;20181;149667;116319;CIC         
665846;C ;35;20182;1034448;116327;CIC         
665846;C ;35;20182;1034448;116327;CIC         
665846;C ;35;20182;1034448;116327;CIC         
665846;C ;35;20182;1034448;116327;CIC         
666356;E ;40;20182;1067800;116319;CIC         
666356;E ;40;20182;1067800;116319;CIC         
671728;B ;35;20182;1099264;113476;CIC         
671728;B ;35;20182;1099264;113476;CIC         
671728;B ;35;20182;1099264;113476;CIC         
672354;A ;40;20182;139751;204323;CIC         
672354;A ;40;20182;139751;204323;CIC         
679863;GG;40;20182;1016512;113476;CIC         
679863;GG;40;20182;1016512;113476;CIC         
679863;GG;40;20182;1016512;113476;CIC         
650643;A ;40;20181;1016377;113468;CIC         
650643;A ;40;20181;1016377;113468;CIC         
650916;A ;40;20181;1053574;116882;CIC         
650916;A ;40;20181;1053574;116882;CIC         
650916;A ;40;20181;1053574;116882;CIC         
652317;B ;40;20181;1048571;117889;CIC         
652317;B ;40;20181;1048571;117889;CIC         
654322;A ;35;20181;1012606;116416;CIC         
654322;A ;35;20181;1012606;116416;CIC         
654322;A ;35;20181;1012606;116416;CIC         
654322;A ;35;20181;1012606;116416;CIC         
654533;D ;40;20181;1034456;113476;CIC         
654533;D ;40;20181;1034456;113476;CIC         
654533;D ;40;20181;1034456;113476;CIC         
657567;F ;41;20181;1109057;113476;CIC         
657567;F ;41;20181;1109057;113476;CIC         
657567;F ;41;20181;1109057;113476;CIC         
668804;A ;40;20182;1036602;116441;CIC         
668804;A ;40;20182;1036602;116441;CIC         
669497;A ;40;20182;1054791;116424;CIC         
669497;A ;40;20182;1054791;116424;CIC         
669497;A ;40;20182;1054791;116424;CIC         
669497;A ;40;20182;1054791;116424;CIC         
671729;C ;41;20182;1048473;113476;CIC         
671729;C ;41;20182;1048473;113476;CIC         
671729;C ;41;20182;1048473;113476;CIC         
671731;E ;40;20182;1034456;113476;CIC         
671731;E ;40;20182;1034456;113476;CIC         
671731;E ;40;20182;1034456;113476;CIC         
672484;A ;40;20182;1017152;206075;CIC         
672484;A ;40;20182;1017152;206075;CIC         
672767;A ;40;20182;149667;116653;CIC         
672767;A ;40;20182;149667;116653;CIC         
647871;A ;40;20181;994235;201600;CIC         
647871;A ;40;20181;994235;201600;CIC         
648668;C ;40;20181;1056662;116319;CIC         
