cod_disciplina;nome_disciplina;creditos;cod_departamento;sigla_departamento;nome_departamento
107964;Laboratório de Instrumentaçao Científica B                            ;4;31;IFD         ;Instituto de Física                               
107972;Partículas e Campos A                                                 ;4;31;IFD         ;Instituto de Física                               
107981;Partículas e Campos B                                                 ;4;31;IFD         ;Instituto de Física                               
107999;Teoria Clássica de Campos                                             ;4;31;IFD         ;Instituto de Física                               
108006;História da Física B                                                  ;4;31;IFD         ;Instituto de Física                               
108014;Física do Estado Sólido B                                             ;4;31;IFD         ;Instituto de Física                               
108022;Astrofísica                                                           ;4;31;IFD         ;Instituto de Física                               
108031;Sistemas Dinâmicos                                                    ;4;31;IFD         ;Instituto de Física                               
108049;Cosmologia                                                            ;4;31;IFD         ;Instituto de Física                               
108057;Física Atômica e Molecular A                                          ;4;31;IFD         ;Instituto de Física                               
108065;Física Atômica e Molecular B                                          ;4;31;IFD         ;Instituto de Física                               
108073;História da Arte-Educaçao 1 - Teatro                                  ;4;26;IDA         ;Instituto de Artes                                
108081;Física do Estado Sólido A                                             ;4;31;IFD         ;Instituto de Física                               
108090;História da Física A                                                  ;4;31;IFD         ;Instituto de Física                               
108103;Física Biológica                                                      ;4;31;IFD         ;Instituto de Física                               
108111;Filosofia da Física                                                   ;4;31;IFD         ;Instituto de Física                               
108120;Teoria Clássica dos Fluidos                                           ;4;31;IFD         ;Instituto de Física                               
108138;Física Estatística Fora do Equilibrio                                 ;4;31;IFD         ;Instituto de Física                               
108146;Métodos Computacionais B                                              ;4;31;IFD         ;Instituto de Física                               
108154;Eletromagnetismo                                                      ;6;31;IFD         ;Instituto de Física                               
108162;RELATIVIDADE GERAL                                                    ;4;31;IFD         ;Instituto de Física                               
108171;Educaçao Física e Cinema                                              ;2;29;FEF         ;Faculdade de Educaçao Física                      
108189;Educaçao Física e Vivencias Corporais Alternativas                    ;2;29;FEF         ;Faculdade de Educaçao Física                      
108197;Educaçao Física e Literatura                                          ;2;29;FEF         ;Faculdade de Educaçao Física                      
108201;Educaçao Física, Música e Arte                                        ;2;29;FEF         ;Faculdade de Educaçao Física                      
108219;Jogos e Brincadeiras Populares                                        ;2;29;FEF         ;Faculdade de Educaçao Física                      
108227;Danças e Brincadeiras Cantadas                                        ;2;29;FEF         ;Faculdade de Educaçao Física                      
108235;Educaçao Tutorial: A Universidade em Questao                          ;1;29;FEF         ;Faculdade de Educaçao Física                      
108243;Educaçao Tutorial: O currículo de Formaçao em Educaçao Física         ;2;29;FEF         ;Faculdade de Educaçao Física                      
108251;Educaçao Tutorial: Mundo do Trabalho em Educaçao Física               ;1;29;FEF         ;Faculdade de Educaçao Física                      
108260;Projeto de Trabalho de Conclusao de Curso                             ;2;31;IFD         ;Instituto de Física                               
108278;Trabalho de Conclusao de Curso                                        ;6;31;IFD         ;Instituto de Física                               
108286;Tópicos Especiais A                                                   ;4;31;IFD         ;Instituto de Física                               
108294;Tópicos Especiais B                                                   ;4;31;IFD         ;Instituto de Física                               
108308;Tópicos Especiais C                                                   ;4;31;IFD         ;Instituto de Física                               
108316;Tópicos Especiais D                                                   ;4;31;IFD         ;Instituto de Física                               
108324;Arte e Cultura Popular - Teatro                                       ;4;26;IDA         ;Instituto de Artes                                
108332;História da Arte-Educaçao 2 - Teatro                                  ;4;26;IDA         ;Instituto de Artes                                
108341;História do Teatro 1                                                  ;6;26;IDA         ;Instituto de Artes                                
108359;História do Teatro 2                                                  ;6;26;IDA         ;Instituto de Artes                                
108367;Laboratório de Poéticas Contemporâneas - Teatro                       ;6;26;IDA         ;Instituto de Artes                                
108375;Introduçao a Teoria do Orbital Molecular                              ;4;85;IQD         ;Instituto de Química                              
108383;Tópicos Contemporâneos em Gestao de Políticas Públicas 1              ;4;360;GPP         ;Departamento de Gestao de Políticas Públicas - GPP
108391;Tópicos Contemporâneos em Gestao de Políticas Públicas 2              ;4;360;GPP         ;Departamento de Gestao de Políticas Públicas - GPP
108405;Tópicos Contemporâneos em Gestao de Políticas Públicas 3              ;4;360;GPP         ;Departamento de Gestao de Políticas Públicas - GPP
108413;Tópicos Contemporâneos em Gestao de Políticas Públicas 4              ;4;360;GPP         ;Departamento de Gestao de Políticas Públicas - GPP
108421;Introduçao a Biologia Marinha                                         ;5;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
108430;Toxicantes de Interesse em Alimentos                                  ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
108448;Toxicologia e Essencialidade de Metais                                ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
108456;Fonética Acústica                                                     ;4;96;FCE         ;UnB - Faculdade da Ceilândia                      
108464;Ciclos de Vida e Fonoaudiologia do Nascimento r Primeira Infância     ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
108472;Fundamentos de Audiologia                                             ;8;96;FCE         ;UnB - Faculdade da Ceilândia                      
108481;Mecânica do Vôo Espacial                                              ;4;95;FGA         ;UnB - Faculdade do Gama                           
108499;Projeto de Sistemas Aeroespaciais                                     ;6;95;FGA         ;UnB - Faculdade do Gama                           
108502;Filosofia da Medicina                                                 ;3;32;FMD         ;Faculdade de Medicina                             
108511;Mecânica dos Fluídos Magnéticos                                       ;4;139;ENM         ;Departamento de Engenharia Mecânica               
108529;Redes de Telecomunicaçoes                                             ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
108537;Laboratório de Redes de Telecomunicaçoes                              ;2;138;ENE         ;Departamento de Engenharia Elétrica.              
108545;Arquitetura e Protocolos de Redes                                     ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
108553;Laboratório de Arquitetura e Protocolos de Redes                      ;2;138;ENE         ;Departamento de Engenharia Elétrica.              
108561;Algoritmos e Estrutura de Dados                                       ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
108570;Planejamento de Redes sem Fio                                         ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
