sigla_departamento;nome_departamento;cod_faculdade;nome_faculdade;cod_materia;periodo;prioridade
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186759;6;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181650;7;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181846;7;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186350;7;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181862;7;10
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186317;8;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;187208;8;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;187216;8;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186724;9;11
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;113018;1;1
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;147389;1;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;184021;1;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181129;1;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181684;2;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186287;2;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;132012;2;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181013;2;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181137;3;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;115011;3;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;134465;3;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181722;4;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186244;4;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;132144;4;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186279;4;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181242;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186210;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186295;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181641;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186261;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186716;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181650;7;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181757;7;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186759;7;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;184080;7;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186350;8;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;184691;8;10
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181846;9;10
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;181862;9;10
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186317;9;10
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;187208;10;11
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;187216;10;11
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;186724;11;12
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158143;1;1
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158178;1;2
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158216;1;3
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158275;1;4
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158151;2;5
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158186;2;6
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158224;2;7
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158283;2;8
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158313;2;9
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158194;3;10
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158232;3;11
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158291;3;12
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158321;3;13
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158160;4;14
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158241;4;15
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158259;4;16
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158330;4;17
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158348;5;18
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158267;5;19
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;153842;5;20
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;106089;6;21
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;106119;6;22
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;106101;7;23
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;106097;7;24
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158143;1;1
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158178;1;2
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158216;1;3
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158275;1;4
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158151;2;5
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158186;2;6
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158224;2;7
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158283;2;8
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158313;2;9
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158194;3;10
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158232;3;11
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158291;3;12
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158321;3;13
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158372;3;14
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;191027;4;15
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158160;4;16
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158330;4;17
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158381;4;18
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;194221;5;19
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;124966;5;20
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;153842;5;21
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;192015;6;22
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;157155;6;23
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158399;6;24
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;157163;7;25
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158402;7;26
CEN         ;Departamento de Artes Cênicas                     ;680;Artes Cênicas                                                         ;158411;8;27
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158143;1;1
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158178;1;2
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158216;1;3
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158275;1;4
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158151;2;5
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158186;2;6
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158224;2;7
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158283;2;8
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158313;2;9
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158194;3;10
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158232;3;11
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158291;3;12
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158321;3;13
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158372;3;14
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158160;4;15
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158330;4;16
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158381;4;17
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;191027;4;18
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;153842;5;19
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;194221;5;20
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;124966;5;21
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;157155;6;22
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;192015;6;23
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158399;6;24
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;157163;7;25
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158402;7;26
CEN         ;Departamento de Artes Cênicas                     ;1309;Artes Cênicas                                                         ;158411;8;27
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;200492;1;1
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;200905;1;2
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;200913;1;3
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;201278;1;6
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;203513;1;7
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;203505;2;8
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;132012;2;9
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;181013;2;10
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;203521;2;11
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;203572;2;12
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;208728;2;13
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;145971;2;14
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;206423;3;13
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;206440;3;14
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;206431;3;15
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;186040;3;16
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;139416;3;17
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;111376;3;18
