DESCRICAO_CARGO
ARTIFICE
ARTIFICE DE AERONAUTICA
ARTIFICE DE ARTES GRAFICAS
ARTIFICE DE CARPINT E MARCENARIA
ARTIFICE DE ELETRIC E COMUNICACOES
ARTIFICE DE MANUTENCAO
ARTIFICE DE MECANICA
ARTIFICE DE METALURGIA
ARTIFICE DE OBRAS
ARTIFICE MECANICO
ASA-ASSISTENTE DE ADMINISTRACAO
ASG - AJUDANTE GERAL
ASM-ASSIST MANUT SIST EQUIP METROFERROV
ASO-ASSIST CONDUCAO VEICULO METROFERROV
ASO-ASSISTENTE MANOBRA
ASO-ASSISTENTE SEGURANCA METROFERROV
ASO-ASSIT CONT MOV VEICULO METROFERROV
ASO-ASSITENTE OPERACAO DE ESTACAO
ASSESSOR JURIDICO
ASSIST DE SERVICO - SERV GERAIS ADM OPER
ASSIST DE TECNOLOGIA DA INFORMACAO
ASSIST TECNICO DE GESTAO EM SAUDE
ASSISTENTE  B
ASSISTENTE - ASSISTENTE ADMINISTRATIVO
ASSISTENTE - ASSISTENTE DE OPERACOES
ASSISTENTE A
ASSISTENTE ADMINISTRATIVO
ASSISTENTE ADMINISTRATIVO - 40H
ASSISTENTE ADMINISTRATIVO I
ASSISTENTE ADMINISTRATIVO III
ASSISTENTE CONDUTOR
ASSISTENTE DE ADMINISTRACAO
ASSISTENTE DE ALUNO
ASSISTENTE DE CHANCELARIA
ASSISTENTE DE LABORATORIO
ASSISTENTE DE OPERACOES
ASSISTENTE DE PRODUCAO
ASSISTENTE EM ADMINISTRACAO
ASSISTENTE EM CIENCIA E TECNOLOGIA
ASSISTENTE EXEC EM METROL E QUALIDADADE
ASSISTENTE INSTITUCIONAL III
ASSISTENTE OPERACIONAL
ASSISTENTE SOCIAL
ASSISTENTE SOCIAL - 30H
ASSISTENTE TECNICO
ASSISTENTE TECNICO ADMINISTRATIVO
ASSISTENTE TECNICO EM DESENV REGIONAL
ASSISTENTE TECNICO-ADMINISTRATIVO
ASSISTENTE-A
ASSISTENTE-B
ASSISTENTE-C
ATA - TECNICO DE CONTABILIDADE
ATA-ASSISTENTE ADMINISTRATIVO
ATA-ASSISTENTE DE REC HUMANOS
ATA-ASSISTENTE FINANCEIRO CONTABIL
ATENDENTE
ATENDENTE DE CONSULTORIO-AREA
ATENDENTE DE SERVICOS I
ATO - ASSISTENTE DE OPERACOES
ATO - CLASSIFICADOR PROD ORG VEGETAL
AUDITOR
AUDITOR FEDERAL DE FINANCAS E CONTROLE
AUDITOR FISCAL DO TRABALHO
AUDITOR FISCAL FEDERAL AGROPECUARIO
AUDITOR-FISCAL DA RECEITA FEDERAL BRASIL
AUX DE IND E CONSERV DE ALIMENTOS
AUX DE SERVICOS DIVERSOS
AUX DE SERVICOS GERAIS
AUX DE TRANSP MARITIMO E FLUVIAL
AUX DE TRANSPORTE MARIT E FLUVIAL
AUX DE VETERINARIA E ZOOTECNIA
AUX EM ADMINISTRACAO
AUX EM ASSUNTOS EDUCACIONAIS
AUX OPERAC DE SERV DE ENGENHARIA
AUX OPERAC DE SERV DIV DE SAUDE
AUX OPERAC DE SERV DIVERSOS
AUX OPERAC SERV DIVERSOS
AUX OPERAC SERVICOS DIVERSOS
AUX OPERACIONAL SERV DIVERSOS
AUX OPERACIONAL SERVICOS DIVERSOS
AUX PRESERV DEFESA AMBIENTAL
AUXIL OPERAC SERVICOS DIVERSOS
AUXILIAR
AUXILIAR - AUXILIAR ADMINISTRATIVO
AUXILIAR - AUXILIAR DE RECURSOS HUMANOS
AUXILIAR - AUXILIAR DE SERVICOS GERAIS
AUXILIAR - MOTORISTA
AUXILIAR AC ACOMP
AUXILIAR ADMINISTRATIVO
AUXILIAR ADMINISTRATIVO E OPERACIONAL
AUXILIAR ADMINISTRATIVO I
AUXILIAR DE ADMINISTRACAO
AUXILIAR DE AGROPECUARIA
AUXILIAR DE ARTES GRAFICAS
AUXILIAR DE ARTIFICE
AUXILIAR DE BIBLIOTECA
AUXILIAR DE CONTROLE DE CARGA - DEC JUDI
AUXILIAR DE CONVES
AUXILIAR DE COZINHA
AUXILIAR DE CRECHE
AUXILIAR DE DIVULGACAO
AUXILIAR DE ENFERMAGEM
AUXILIAR DE ENFERMAGEM-SUPORTE
AUXILIAR DE ESCRITORIO
AUXILIAR DE ESTERILIZACAO
AUXILIAR DE LABORATORIO
AUXILIAR DE LABORATORIO 8 HORAS
AUXILIAR DE MECANICA
AUXILIAR DE METEOROLOGIA
AUXILIAR DE NUTRICAO E DIETETICA
AUXILIAR DE PADEIRO
AUXILIAR DE PRODUCAO
AUXILIAR DE RECREACAO
AUXILIAR DE SANEAMENTO
AUXILIAR DE SAUDE
AUXILIAR DE SERRALHEIRO
AUXILIAR DE SERTANISTA
AUXILIAR DE SERVICOS
AUXILIAR DE SERVICOS DIVERSOS
AUXILIAR DE SERVICOS GERAIS
AUXILIAR DE SERVICOS GERAIS - CVM
AUXILIAR DESENV TECNOL NUCLEAR E DEFESA
AUXILIAR EM ASSUNTOS EDUCACIONAIS
AUXILIAR EM CIENCIA E TECNOLOGIA
AUXILIAR EM ENFERMAGEM
AUXILIAR INSTITUCIONAL I
AUXILIAR OPERAC SERVICOS DIVERSOS
AUXILIAR OPERACIONAL
AUXILIAR OPERACIONAL EM AGROPECUARIA
AUXILIAR OPERACIONAL EM DESENV REGIONAL
AUXILIAR OPERACIONAL SERV DIVERSOS
AUXILIAR OPERACIONAL SERV DIVERSOS - NA
AUXILIAR OPERACIONAL SERV DIVERSOS - NI
AUXILIAR OPERACIONAL SERVICOS DIVERSOS
AUXILIAR RURAL
AUXILIAR TECNICO I
AUXILIO OPERACIONAL
BIBLIOTECARIO
BIBLIOTECARIO-DOCUMENTALISTA
BIOLOGO
BIOLOGO - 40H
BIOMEDICO
BIOMEDICO - 40H
BOMBEIRO HIDRAULICO
CAIXA
CAPITAO
CARPINTEIRO
CARTOGRAFO
COMPRADOR
CONTADOR
CONTINUO
CONTRAMESTRE-OFICIO
CONTRATADO LEI 8745-93 - NI
CONTROLADOR DE TRAFEGO AEREO
CONTROLADOR MAT E PAT
COPEIRO
CORONEL
COZINHEIRO
DATILOGRAFO
DESENHISTA
DESENHISTA-PROJETISTA
DIGITADOR
DIRETOR DE IMAGENS
ECONOMISTA
EDICAO E FINALIZACAO DE IMAGEM
EDITOR DE IMAGENS
EDITOR DE PUBLICACOES
EDITOR DE VIDEO TAPE
ELETRICISTA
ENCADERNADOR
ENFERMEIRO
ENFERMEIRO - 36H
ENFERMEIRO I
ENFERMEIRO-AREA
ENGENHEIRO
ENGENHEIRO - 40H
ENGENHEIRO AGRONOMO
ENGENHEIRO CIVIL
ENGENHEIRO DE SEG DO TRABALHO
ENGENHEIRO DE SEGURANCA DO TRABALHO
ENGENHEIRO I
ENGENHEIRO-AREA
ESCRITURARIO
ESCRITURARIO DATILOGRAFO
ESCRITURARIO I
ESCRITURARIO VI
ESCRIVAO DE POLICIA CIVIL ESPECIAL
ESP EM REG DA ATIV CINEMAT E AUDIOVISUAL
ESP EM REG DE SERV DE TRANSP AQUAVIARIOS
ESP EM REG DE SERV DE TRANSP TERRESTRES
ESP EM REG DE SERV PUB DE TELECOMNICACAO
ESP EM REGULACAO DE AVIACAO CIVIL
ESP EM REGULACAO DE SAUDE SUPLEMENTAR
ESP EM REGULACAO DE SERV PUB DE ENERGIA
ESP EM REGULACAO E VIGILANCIA SANITARIA
ESP POL PUBL GESTAO GOVERNAMENTAL
ESP REG DE PET E DER  ALC COMB E GAS NAT
ESP SUP DE ATIVIDADE DE SUPORTE - ESAS
ESP SUP DE ESTRATEGIA NUCLEAR - ESEN
ESP SUP DE LOGISTICA NUCLEAR - ESLN
ESPEC SENIOR EM PROPRIED INDUSTRIAL
ESPECIALISTA CET PROD INOV SAUDE PUBLICA
ESPECIALISTA DE NIVEL APOIO
ESPECIALISTA DE NIVEL SUPERIOR
ESPECIALISTA DESENV TECN NUCLEAR DEFESA
ESPECIALISTA EM ATIV HOSPITALARES
ESPECIALISTA EM INFRA-ESTRUTURA SENIOR
ESPECIALISTA EM REC HIDRICOS
ESPECIALISTA EM RECURSOS MINERAIS
ESPECIALISTA I
ESPECIALISTA VIII
ESTATISTICO
FARMACEUTICO
FARMACEUTICO - 40H
FARMACEUTICO-HABILITACAO
FISCAL DE CADASTRO E TRIBUTACAO RURAL
FISICO
FISIOTERAPEUTA
FISIOTERAPEUTA - 30H
FISIOTERAPEUTA I
FONOAUDIOLOGO
FONOAUDIOLOGO - 30H
FONOAUDIOLOGO I - 36HORAS
GARCON
GEOGRAFO
GEOLOGO
GUARDA DE ENDEMIAS
GUARDA DE PRESIDIO CIVIL ESPECIAL
IDENTIFICADOR DATILOSCOPICO
INDIGENISTA ESPECIALIZADO
INSPETOR CVM
Inválido
JARDINEIRO
JORNALISTA
LABORATORISTA
LABORATORISTA JORNADA 8 HORAS
LANCHEIRO
LIGADOR
LOCUTOR
MAJOR
MAQUINISTA
MARCENEIRO
MECANICO
MECANICO TECNICO
MEDICO
MEDICO - 24H
MEDICO VETERINARIO
MEDICO-AREA
MESTRE DE EDIF E INFRAESTRUTURA
MICROSCOPISTA
MINISTRO DE PRIMEIRA CLASSE
MINISTRO DE SEGUNDA CLASSE
MONITOR BILINGUE
MOTORISTA
MOTORISTA - NA
MOTORISTA - NI
MOTORISTA OFICIAL
MOTORISTA OFICIAL - NA
MUSICO
NUTRICIONISTA
NUTRICIONISTA - 40H
NUTRICIONISTA-HABILITACAO
ODONTOLOGO - 30 HORAS
ODONTOLOGO - 30 HORAS - DL 1445-76
ODONTOLOGO - 40 HORAS
OFICIAL DE CHANCELARIA
OFICIAL SERV ESCRITORIO
OFICIAL SERVICOS DE APOIO
OPERADOR DE EST DE TRATAM AGUA-ESGOTO
OPERADOR DE MAQ AGRICOLAS
OPERADOR DE MAQ DE LAVANDERIA
OPERADOR DE MAQ DE VIA TERRAPLANAGEM
OPERADOR DE MAQUINA COPIADORA
OPERADOR EQUIP INSTALACAO
ORIENTADOR DE PROJ DE ASSENTAMENTO
PADEIRO
PEDAGOGO
PEDAGOGO - 40H
PEDAGOGO-AREA
PEDREIRO
PERITO MEDICO PREVIDENCIARIO
PESQ EM INFORMACOES GEOGRAFICAS
PESQ EM PROPRIEDADE INDUSTRIAL
PESQ TECNOLOGISTA EM INFORMACOES
PESQUISADOR
PESQUISADOR EM GEOCIENCIA
PESQUISADOR EM SAUDE PUBLICA
PESQUISADOR I
PESQUISADOR-A
PESQUISADOR-B
PESQUISADOR-TECNOLOGISTA METR QUALIDADE
PINTOR-AREA
POLICIAL RODOVIARIO FEDERAL
PORTEIRO
PRATICO DE LABORATORIO
PRIMEIRO SARGENTO
PRIMEIRO SECRETARIO
PRIMEIRO TENENTE
PRIMEIRO-SARGENTO
PROCURADOR DA FAZENDA
PROCURADOR DO BANCO CENTRAL
PROCURADOR FEDERAL
PROD EXEC TV - RADIO E  MIDIAS DIGITAIS
PRODUTOR
PRODUTOR CULTURAL
PRODUTOR EXECUTIVO
PROESU - ENGENHEIRO
PROF DE APOIO ADMINIST E TECNICO- PAAT
PROF DE APOIO OPERACIONAL E TECNICO-PAOT
PROF DE PROD DE COMBUSTIVEL NUCLEAR-PPCN
PROF DE SERV ASSISTENCIAIS III
PROF ENS BAS TEC TECNOLOGICO-SUBSTITUTO
PROF FABRIC ELEMENTO COMBUSTIVEL - PFEC
PROF MINERACAO DE MAT NUCLEARES - PMMN
PROF SEGURANCA QUALID E MONITORACAO-PSQM
PROF SERV OPERACIONAIS II
PROF SERV OPERACIONAIS III
PROF SERV OPERACIONAIS VI
PROFESSOR - NM - EX TERRIT
PROFESSOR - NS - EX-TERRITORIO
PROFESSOR 3 GRAU - SUBSTITUTO
PROFESSOR DE 1 GRAU
PROFESSOR DO ENSINO BASICO EX-TERRITORIO
PROFESSOR DO MAGISTERIO SUPERIOR
PROFESSOR ENS BASICO TECN TECNOLOGICO
PROFESSOR MAGISTERIO SUPERIOR -VISITANTE
PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO
PROFESSOR MAGISTERIO SUPERIOR-TEMPORARIO
PROFESSOR TITULAR-LIVRE MAG SUPERIOR
PROFIS DE SERV ASSISTECIAIS II
PROFISSIONAL ASSISTENCIAL III
PROFISSIONAL DE APOIO II
PROFISSIONAL TECNICO SUPERIOR II
PROGRAMADOR
PROGRAMADOR VISUAL
PROIND - CALDEIREIRO ESPECIALIZADO
PROIND - FRESADOR
PROIND - OPERADOR UTILIDADES INDUSTRIAIS
PROIND - SOLDADOR
PROIND - SUPERVISOR DE CALDEIRARIA
PROIND - TECNICO INDUSTRIAL
PROSAL - AUXILIAR DE ADMINISTRACAO
PROSAL - AUXILIAR DE PESSOAL
PSICOLOGO - 40H
PSICOLOGO-AREA
QUIMICO
RECEPCIONISTA
RELACOES PUBLICAS
REVISOR DE TEXTOS
SECRETARIO EXECUTIVO
SEGUNDO SARGENTO
SEGUNDO SECRETARIO
SEGUNDO TENENTE
SEGUNDO-SARGENTO
SEGURANCA DO TRABALHO
Sem informaçao
SERVENTE DE LIMPEZA
SERVENTE DE OBRAS
SISTEMAS
SOLDADOR TECNICO
SONOPLASTA
SUBTENENTE
SUPERVISOR DE VIGILANCIA
SUPERVISOR TECNICO
TEC DE TECNOLOGIA DA INFORMACAO
TEC EM AGRICULTURA E PECUARIA
TEC EM ANATOMIA E NECROPSIA
TEC EM ASSUNTOS CULTURAIS
TEC EM ASSUNTOS EDUCACIONAIS
TEC EM ELETROELETRONICA
TEC EM FINANCIAMENTO E EXECUCAO
TEC EM METROLOGIA E QUALIDADE
TEC EM MOVEIS E ESQUADRIAS
TEC EM NUTRICAO E DIETETICA
TEC EM PROPRIEDADE INDUSTRIAL
TEC EM REABILIT OU FISIOTERAPIA
TEC EM REG DE SERV DE TRANSP TERRESTRES
TEC EM REG E VIGILANCIA SANITARIA
TEC EM REGUL DE SAUDE SUPLEMENTAR
TEC EM REGULACAO DE AVIACAO CIVIL
TEC EM SEGURANCA DO TRABALHO
TEC EM TELECOMUNICACAO
TEC EQUIP MEDICO ODONTOLOGICO
TEC INFOR GEOGRAFICAS E ESTATISTICA
TEC PLAN GEST INF EST PROP INDUSTRIAL
TEC PLAN GEST INF INFOR GEOG ESTATIS
TEC REG  PET E DERIV ALC COMB E GAS NAT
TEC REG DE SERV PUB DE TELECOMUNICACOES
TEC SUPORTE INFRA-ESTRUT DE TRANSPORTES
TEC-TECNICO DE RECURSOS HUMANOS
TECNICO
TECNICO ADMINISTRATIVO
TECNICO ADMINISTRATIVO - 40H
TECNICO AGRICOLA
TECNICO AMBIENTAL
TECNICO DE ARQUIVO
TECNICO DE CONTABILIDADE
TECNICO DE ENFERMAGEM
TECNICO DE ENFERMAGEM I
TECNICO DE ENFERMAGEM III
TECNICO DE HIDROLOGIA
TECNICO DE LABORATORIO
TECNICO DE LABORATORIO AREA
TECNICO DE MANUTENCAO I
TECNICO DE NIVEL MEDIO
TECNICO DE NIVEL SUPERIOR
TECNICO DE PLANEJAMENTO
TECNICO DE PLANEJAMENTO E ORCAMENTO
TECNICO DE PLANEJAMENTO E PESQUISA
TECNICO DE PROCESSAMENTO
TECNICO DE PROCESSAMENTO I
TECNICO DE SERVICOS DIVERSOS
TECNICO DE TECNOLOGIA MILITAR
TECNICO DEFESA AEREA E CONT TRAF AEREO
TECNICO DESENV TECNOL NUCLEAR E DEFESA
TECNICO DO BANCO CENTRAL
TECNICO DO SEGURO SOCIAL
TECNICO EM AGROPECUARIA
TECNICO EM ARQUIVO
TECNICO EM ARTES GRAFICAS
TECNICO EM ASSUNTOS EDUCACIONAIS
TECNICO EM ATIV DE MINERACAO
TECNICO EM ATIV MEDICO-HOSPITALARES
TECNICO EM ATIVIDADES HOSPITALARES
TECNICO EM AUDIOVISUAL
TECNICO EM CINEMATOGRAFIA
TECNICO EM COLONIZACAO
TECNICO EM COMUNICACAO SOCIAL
TECNICO EM CONTABILIDADE
TECNICO EM DOCUMENTACAO I
TECNICO EM EDIFICACOES
TECNICO EM ELETROMECANICA
TECNICO EM ELETRONICA
TECNICO EM ELETRONICA E TELECOMUNICACAO
TECNICO EM ELETROTECNICA
TECNICO EM ENFERMAGEM
TECNICO EM ENFERMAGEM - 36H
TECNICO EM FARMACIA
TECNICO EM GEOCIENCIA
TECNICO EM MECANICA
TECNICO EM MICROFILMAGEM
TECNICO EM PESQUISA E INVEST BIOMEDICA
TECNICO EM PROTESE DENTARIA
TECNICO EM RADIOLOGIA
TECNICO EM RADIOLOGIA - 24H
TECNICO EM RADIOLOGIA 24 HORAS
TECNICO EM SAUDE - 40H
TECNICO EM SAUDE PUBLICA
TECNICO EM SECRETARIADO
TECNICO EM SERVICO ESCRITORIO
TECNICO ESP SERV ECONOM
TECNICO FEDERAL DE FINANCAS E CONTROLE
TECNICO I
TECNICO NIVEL MEDIO
TECNICO REF DESENVOL AGRARIO
TECNICO-A
TECNICO-B
TECNOL INF GEOGRAFICA ESTATISTICA
TECNOLOGISTA
TECNOLOGISTA EM PESQ E INVEST BIOMEDICA
TECNOLOGISTA EM PROPRIED INDUSTRIAL
TECNOLOGISTA EM SAUDE PUBLICA
TECNOLOGO - 24H
TECNOLOGO-FORMACAO
TELEFONISTA
TELEFONISTA 30 HORAS
TENENTE-CORONEL
TERAPEUTA OCUPACIONAL
TERAPEUTA OCUPACIONAL - 30H
TERCEIRO SARGENTO
TGE-TECNICO DE GESTAO
TIN-TECNICO INDUSTRIAL
TNS - TECNICO DE OPERACOES
TNS-ENGENHEIRO AGRONOMO
TOPOGRAFO
TORNEIRO MECANICO
TRADUTOR INTERPRETE DE LINGUAGEM SINAIS
TRATORISTA
TSE-TECNICO DESEGURANCA DO TRABALHO
VIGIA
VIGILANTE
VISITADOR SANITARIO
