id_objeto,id_sujeito,id_termo,id_objeto_tipo,desc_objeto,id_coluna
48326,39410,14,1,"Fisiologia Animal 2",17
48327,39410,28,1,4,18
48328,39410,4,2,"Direçao do Instituto Ciencias Biológicas",21
48329,39411,14,1,"Pesquisa em Educaçao Científica",17
48330,39411,28,1,6,18
48331,39411,4,2,"Instituto de Ciencias Biológicas",21
48332,39412,14,1,"Fundamentos de Física",17
48333,39412,28,1,4,18
48334,39412,4,2,"Direçao do Instituto Ciencias Biológicas",21
48335,39413,14,1,"Embriologia Animal",17
48336,39413,28,1,4,18
48337,39413,4,2,"Direçao do Instituto Ciencias Biológicas",21
48338,39414,14,1,"Biologia Molecular",17
48339,39414,28,1,4,18
48340,39414,4,2,"Direçao do Instituto Ciencias Biológicas",21
48341,39415,14,1,"Organografia e Sistemática Fanerofítica",17
48342,39415,28,1,4,18
48343,39415,4,2,"Direçao do Instituto Ciencias Biológicas",21
48344,39416,14,1,"Didática da Biologia",17
48345,39416,28,1,4,18
48346,39416,4,2,"Direçao do Instituto Ciencias Biológicas",21
48347,39417,14,1,"Patologia Molecular Clínica",17
48348,39417,28,1,4,18
48349,39417,4,2,"UnB - Faculdade da Ceilândia",21
48350,39418,14,1,"Escolarizaçao de Surdos e LIBRAS",17
48351,39418,28,1,4,18
48352,39418,4,2,"Departamento de Teoria e Fundamentos",21
48353,39419,14,1,"Clínica Médica de Animais de Companhia 1",17
48354,39419,28,1,6,18
48355,39419,4,2,"Faculdade de Agronomia e Medicina Veterinária",21
48356,39420,14,1,"Clínica Médica de Animais de Companhia 2",17
48357,39420,28,1,6,18
48358,39420,4,2,"Faculdade de Agronomia e Medicina Veterinária",21
48359,39421,14,1,"Clínica e Cirurgia de Ruminantes e Equinos 1",17
48360,39421,28,1,10,18
48361,39421,4,2,"Faculdade de Agronomia e Medicina Veterinária",21
48362,39422,14,1,"Semiologia Veterinária",17
48363,39422,28,1,4,18
48364,39422,4,2,"Faculdade de Agronomia e Medicina Veterinária",21
48365,39423,14,1,"Clínica e Cirurgia de Ruminantes e Equinos 2",17
48366,39423,28,1,10,18
48367,39423,4,2,"Faculdade de Agronomia e Medicina Veterinária",21
48368,39424,14,1,"História da África Colonial",17
48369,39424,28,1,4,18
48370,39424,4,2,"Departamento de História",21
48371,39425,14,1,"Introduçao r Prótese Parcial Removível",17
48372,39425,28,1,2,18
48373,39425,4,2,"Departamento de Odontologia",21
48374,39426,14,1,"Prótese Parcial Fixa",17
48375,39426,28,1,4,18
48376,39426,4,2,"Departamento de Odontologia",21
48377,39427,14,1,"Hematologia Clínica",17
48378,39427,28,1,4,18
48379,39427,4,2,"UnB - Faculdade da Ceilândia",21
48380,39428,14,1,"Teoria, Crítica e História da Arte 2",17
48381,39428,28,1,4,18
48382,39428,4,2,"Departamento de Artes Visuais",21
48383,39429,14,1,"Arte e Sociologia",17
48384,39429,28,1,4,18
48385,39429,4,2,"Departamento de Artes Visuais",21
48386,39430,14,1,"A Enfermagem na Estratégia  Saúde da Família",17
48387,39430,28,1,2,18
