nome_departamento;sigla_departamento;cod_faculdade;cod_materia;periodo_disciplina;prioridade;cod_fluxo
Departamento de Administraçăo                     ;ADM         ;1546;204692;2;11;1546204692
Departamento de Administraçăo                     ;ADM         ;1546;204722;2;12;1546204722
Departamento de Administraçăo                     ;ADM         ;1546;204757;3;13;1546204757
Departamento de Administraçăo                     ;ADM         ;1546;204749;3;14;1546204749
Departamento de Administraçăo                     ;ADM         ;1546;204765;3;15;1546204765
Departamento de Administraçăo                     ;ADM         ;1546;204773;3;16;1546204773
Departamento de Administraçăo                     ;ADM         ;1546;204781;3;17;1546204781
Departamento de Administraçăo                     ;ADM         ;1546;204790;3;18;1546204790
Departamento de Administraçăo                     ;ADM         ;1546;180106;4;19;1546180106
Departamento de Administraçăo                     ;ADM         ;1546;180181;4;20;1546180181
Departamento de Administraçăo                     ;ADM         ;1546;204838;4;21;1546204838
Departamento de Administraçăo                     ;ADM         ;1546;204820;4;22;1546204820
Departamento de Administraçăo                     ;ADM         ;1546;204811;4;23;1546204811
Departamento de Administraçăo                     ;ADM         ;1546;204846;4;24;1546204846
Departamento de Administraçăo                     ;ADM         ;1546;209091;5;25;1546209091
Departamento de Administraçăo                     ;ADM         ;1546;205338;5;26;1546205338
Departamento de Administraçăo                     ;ADM         ;1546;204889;5;27;1546204889
Departamento de Administraçăo                     ;ADM         ;1546;204854;5;28;1546204854
Departamento de Administraçăo                     ;ADM         ;1546;204871;5;29;1546204871
Departamento de Administraçăo                     ;ADM         ;1546;204862;5;30;1546204862
Departamento de Administraçăo                     ;ADM         ;1546;204897;5;31;1546204897
Departamento de Administraçăo                     ;ADM         ;1546;204960;6;32;1546204960
Departamento de Administraçăo                     ;ADM         ;1546;204943;6;33;1546204943
Departamento de Administraçăo                     ;ADM         ;1546;204951;6;34;1546204951
Departamento de Administraçăo                     ;ADM         ;1546;204978;6;35;1546204978
Departamento de Administraçăo                     ;ADM         ;1546;204986;6;36;1546204986
Departamento de Administraçăo                     ;ADM         ;1546;205052;7;37;1546205052
Departamento de Administraçăo                     ;ADM         ;1546;205061;7;38;1546205061
Departamento de Administraçăo                     ;ADM         ;1546;205044;7;39;1546205044
Departamento de Administraçăo                     ;ADM         ;1546;205079;7;40;1546205079
Departamento de Administraçăo                     ;ADM         ;1546;205087;7;41;1546205087
Departamento de Administraçăo                     ;ADM         ;1546;205133;8;42;1546205133
Departamento de Administraçăo                     ;ADM         ;1546;205141;8;43;1546205141
Departamento de Administraçăo                     ;ADM         ;1546;205150;8;44;1546205150
