cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_materia
663713;A ;10;20181;141283;360414
663714;A ;30;20181;128309;360082
663715;A ;30;20181;1017403;360040
663716;A ;40;20181;1031091;103403
663717;A ;10;20181;1017403;360520
663718;A ;20;20181;1036262;360571
663720;A ;20;20181;146251;320323
663726;D ;1;20181;152072;340731
663727;A ;1;20181;1027743;310883
663728;D ;1;20181;785971;338311
663731;A ;15;20181;1048210;356018
663732;B ;15;20181;152510;356018
663733;C ;15;20181;1045288;356018
663734;D ;15;20181;878979;356018
663735;E ;15;20181;1091000;356018
663736;A ;10;20181;1039431;355712
663737;A ;20;20181;1009249;317977
663738;B ;10;20181;1049135;355712
663739;A ;7;20181;1040171;355763
663740;B ;7;20181;1097580;355763
663741;D ;5;20181;147974;321419
663742;A ;12;20181;1045512;376086
663744;A ;12;20181;694053;376094
663745;D ;7;20181;1014447;379000
663746;B ;2;20181;1074423;355691
663747;A ;60;20181;1016091;318825
663748;A ;20;20181;1107194;167622
663749;A ;60;20181;1102052;318990
663750;A ;60;20181;1016997;318906
663751;A ;60;20181;986216;318922
663753;B ;15;20181;152633;379786
663755;A ;30;20181;991384;303453
663756;A ;30;20181;1072111;304689
663757;A ;30;20181;1072111;304697
663758;D ;5;20181;1013980;379018
663759;A ;60;20181;1047876;318876
663760;A ;60;20181;1016091;318841
663762;A ;10;20181;1016091;318795
663763;B ;10;20181;986216;318795
663764;C ;10;20181;1081560;318795
663765;D ;10;20181;148652;318795
663766;A ;15;20181;149306;372544
663769;BE;20;20181;1034332;316491
663770;E ;27;20181;1107372;208175
663771;A ;10;20181;147150;369543
663772;B ;20;20181;1068423;154709
663775;D ;15;20181;1068423;206083
663776;A ;24;20181;51748;379867
663777;A ;20;20181;1042823;379921
663778;A ;20;20181;51748;380504
663779;A ;20;20181;1016997;320226
663780;A ;20;20181;996874;380474
663781;A ;20;20181;1104926;380776
663782;A ;20;20181;71111;379999
663783;A ;20;20181;1027671;379794
663784;BB;6;20181;1100815;109738
663785;A ;50;20181;1014951;202371
663786;A ;40;20181;1017381;103365
663787;D ;40;20181;1049267;107689
663788;A ;40;20181;1016245;128091
663789;A ;3;20181;1012495;340804
663790;C ;3;20181;1012495;342653
663791;G ;1;20181;140406;303470
663793;N ;2;20181;1005626;372633
663794;C ;1;20181;1010093;372854
663795;A ;30;20181;1035134;314218
663796;A ;30;20181;1035134;314315
663797;CM;4;20181;997315;150096
663798;A ;10;20181;998788;323250
663799;B ;8;20181;1064304;340294
663801;A ;10;20181;150401;342700
663802;A ;20;20181;990051;366935
663803;A ;11;20181;1064436;396231
663804;A ;5;20181;1064436;396257
663805;B ;10;20181;994871;327417
663806;A ;20;20181;995274;396214
663808;A ;13;20181;1035975;396206
663811;F ;6;20181;1047434;394688
663812;B ;6;20181;1047434;394696
663813;A ;5;20181;1047434;338231
663819;A ;30;20181;1020692;155446
663828;A ;30;20181;148326;327841
663829;A ;30;20181;1064363;327859
663830;A ;30;20181;1021052;327875
663831;A ;30;20181;1103164;327867
663832;A ;15;20181;989819;338265
663833;C ;2;20181;989819;302163
663834;E ;2;20181;989819;338311
663840;B ;7;20181;989819;338206
663842;A ;20;20181;1076752;343269
663843;B ;20;20181;1095480;150363
663845;C ;36;20181;1070312;115355
663847;TM;4;20181;879142;150096
663848;PR;4;20181;1017641;150096
663849;CP;4;20181;1096893;150096
663850;FC;4;20181;1032607;150096
663851;MM;4;20181;150461;150096
663852;CE;4;20181;131016;150096
663853;ZR;4;20181;1099124;150096
663854;A ;20;20181;700819;363227
663855;A ;30;20181;1083881;327832
663856;E ;30;20181;1108549;107689
663857;A ;15;20181;1105451;355607
663858;A ;15;20181;1105451;355542
663859;A ;10;20181;145971;355828
663860;A ;15;20181;1044834;356174
663861;F ;15;20181;1106929;356018
663863;C ;50;20181;1088572;186198
663864;A ;2;20181;119351;356026
663865;A ;45;20181;1097385;302716
663866;A ;1;20181;617181;356034
663867;A ;15;20181;1059459;355518
663868;A ;10;20181;1055151;303321
663869;A ;15;20181;1020692;356051
663870;A ;15;20181;151777;326861
663871;C ;20;20181;1009478;345717
663872;B ;15;20181;145971;326861
663873;A ;20;20181;777781;360147
663874;A ;10;20181;617181;326852
663875;B ;2;20181;1044877;356026
663876;A ;5;20181;1035215;327808
663877;A ;5;20181;1044702;310867
663878;A ;5;20181;1058941;342483
663879;B ;5;20181;991091;310867
663880;C ;5;20181;1060252;310867
663881;D ;5;20181;1014005;310867
663882;C ;1;20181;1048767;356026
663883;E ;5;20181;1080067;310867
663884;F ;5;20181;1028774;310867
663885;D ;1;20181;1059459;356026
663886;E ;1;20181;1049186;356026
663887;M ;2;20181;1079417;347175
663894;B ;1;20181;1059459;356034
663895;B ;1;20181;1059459;356042
663896;A ;1;20181;145815;356042
663898;FF;4;20181;1032607;202673
663899;EE;4;20181;148938;202673
663900;PP;4;20181;1107615;202673
663901;A ;20;20181;1029011;327824
663902;AB;35;20181;203211;113018
663903;A ;40;20181;1107089;196754
663904;A ;30;20181;1100661;115843
663905;C ;1;20181;59081;338206
663906;A ;2;20181;1014111;366684
663907;B ;2;20181;1008617;366684
663908;C ;2;20181;1047655;366684
663909;D ;4;20181;1013866;366684
663910;F ;2;20181;152781;366684
663911;G ;1;20181;1051083;366684
663912;H ;1;20181;1008927;366684
663913;A ;2;20181;1013866;366692
663914;B ;1;20181;1008617;366692
663915;C ;1;20181;1014111;366692
663916;D ;1;20181;152781;366692
663917;F ;2;20181;1051083;366692
663918;G ;1;20181;1008927;366692
663919;A ;20;20181;1014111;366757
663920;A ;7;20181;1055127;319830
663922;A ;20;20181;148571;320218
663923;A ;10;20181;1014111;366676
663924;A ;10;20181;1008617;367290
663925;A ;20;20181;1013866;366668
663926;B ;20;20181;1014111;369811
663928;B ;2;20181;1097679;367290
663929;A ;20;20181;152781;320943
663930;A ;10;20181;1013866;366641
663931;B ;10;20181;1064649;343269
663932;A ;5;20181;130991;360228
663933;B ;50;20181;1109600;202291
663934;B ;1;20181;1037757;342483
663935;C ;2;20181;994138;398161
663936;B ;1;20181;1037757;398161
663938;A ;2;20181;1049046;398161
663939;A ;30;20181;152196;392642
663941;C ;10;20181;1041983;343269
663943;A ;20;20181;1036416;310816
663944;A ;1;20181;1036416;364428
663945;A ;15;20181;1094203;364541
663946;A ;20;20181;1105604;321699
663947;A ;3;20181;1036297;327816
663955;C ;20;20181;997595;153923
663957;A ;20;20181;1062000;327239
663958;A ;20;20181;1002350;319538
663959;A ;20;20181;1097563;327221
663960;A ;20;20181;1010875;320617
663961;A ;20;20181;1035681;384305
663962;E ;4;20181;148181;154555
663963;E ;4;20181;146994;154482
663964;A ;20;20181;1060317;327069
663965;C ;1;20181;1036947;369683
663966;A ;40;20181;1054627;195634
663967;D ;5;20181;1070924;343269
663968;B ;25;20181;1095498;128252
663969;A ;20;20181;148181;155501
663970;F ;5;20181;140601;343471
663971;EB;5;20181;1034758;342505
663972;EB;5;20181;1034758;341967
663973;A ;30;20181;149748;332631
663974;CB;40;20181;1102079;121525
663975;A ;30;20181;140392;332348
663976;A ;27;20181;141381;304310
663977;A ;30;20181;1059718;332313
663978;A ;27;20181;1028243;320854
663979;A ;27;20181;90948;333611
663980;A ;27;20181;745138;302112
663981;A ;27;20181;129551;333859
663982;A ;30;20181;141381;333956
663984;A ;27;20181;1062549;333476
663985;A ;30;20181;148385;332585
663986;A ;27;20181;121649;336513
663988;D ;1;20181;1047485;361585
663989;A ;35;20181;1085280;333972
663990;A ;27;20181;1102061;333689
663991;A ;27;20181;1098861;332071
663992;J ;6;20181;152170;369314
663993;A ;27;20181;1048015;336505
663994;J ;3;20181;152170;372846
663995;A ;35;20181;129551;332445
663996;J ;4;20181;152170;371491
663997;B ;1;20181;1027221;327816
663998;C ;1;20181;1055135;327816
663999;A ;27;20181;1062336;333131
664000;A ;27;20181;148199;320871
664001;D ;1;20181;1023837;327816
664002;A ;27;20181;1025881;308510
664003;B ;30;20181;128252;324914
664004;S ;2;20181;1010093;372854
664006;O ;1;20181;989479;302163
664007;R ;2;20181;1014269;338311
664008;R ;2;20181;1014269;302163
664009;R ;2;20181;1014269;394688
664010;R ;2;20181;1014269;394696
664011;O ;3;20181;989479;394688
664012;O ;4;20181;989479;394696
664013;E ;3;20181;150550;379662
664014;B ;24;20181;1026836;115525
664015;A ;25;20181;1109359;149969
664016;E ;1;20181;994766;327816
664017;B ;40;20181;1036491;208361
664018;C ;5;20181;125610;343587
664019;E ;5;20181;1052811;343579
664020;A ;40;20181;1061534;196916
664021;F ;2;20181;1045202;356026
664022;PT;5;20181;1042751;341967
664023;PT;5;20181;1042751;342505
664024;JJ;4;20181;1043064;202673
664025;K ;10;20181;146528;350206
664026;A ;5;20181;957291;350168
664027;H ;4;20181;1047795;394688
664028;G ;1;20181;900575;356026
664029;C ;1;20181;1047795;394696
664031;D ;4;20181;150401;342653
664032;A ;30;20181;1048431;327204
664033;I ;10;20181;145050;350141
664034;F ;10;20181;1014331;345601
664035;A ;17;20181;1035665;315770
664036;A ;5;20181;973912;338362
664037;B ;15;20181;152587;326852
664038;C ;15;20181;141755;326852
664039;B ;50;20181;1109308;124966
664046;B ;1;20181;744701;380024
664047;C ;10;20181;1005219;317675
