sigla_departamento;nome_departamento;cod_curso;nome_curso;vigencia_inicio;vigencia_fim;cod_habilitacao;nome_habilitacao;vigencia_habilitacao_inicio;vigencia_opcao_fim;cod_disciplina;periodo;prioridade
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204706;2;9
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204714;2;10
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204692;2;11
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204722;2;12
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204757;3;13
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204749;3;14
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204765;3;15
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204773;3;16
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204781;3;17
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204790;3;18
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;180106;4;19
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;180181;4;20
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204838;4;21
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204820;4;22
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204811;4;23
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204846;4;24
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;209091;5;25
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205338;5;26
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204889;5;27
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204854;5;28
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204871;5;29
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204862;5;30
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204897;5;31
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204960;6;32
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204943;6;33
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204951;6;34
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204978;6;35
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204986;6;36
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205052;7;37
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205061;7;38
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205044;7;39
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205079;7;40
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205087;7;41
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205133;8;42
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205141;8;43
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205150;8;44
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;205168;8;45
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;207039;8;46
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181129;1;1
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;113018;1;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;140481;1;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;184021;1;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;132012;1;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181684;2;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186287;2;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181013;2;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;115011;2;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;134465;2;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181137;3;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;132144;3;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186279;3;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181722;4;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186244;4;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186210;4;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;184080;4;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181242;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186295;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;184691;5;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186716;5;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181641;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186261;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181757;6;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186759;6;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181650;7;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181846;7;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186350;7;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181862;7;10
